Date,AAPL,BP,COST,GOOG,GS,IBM,XOM
2017-03-08,-0.003727093,-0.016533747,-0.004550868,0.00415913,-0.002630486,-0.005155826,-0.018056205
2017-03-07,0.001291862,-0.002943833,0.001619409,0.004989181,-0.004404591,-0.000498676,-0.003742666
2017-03-06,-0.003147825,-0.003520065,-0.020732991,-0.001567989,-0.00347979,0.002332674,0.00448706
2017-03-03,0.005900921,-0.00087922,-0.043375667,-0.001866039,0.007289098,-0.002658816,-0.010084081
2017-03-02,-0.005937378,-0.003213585,0.00067466,-0.005519354,-0.006529259,-0.007804331,0.003372754
2017-03-01,0.02043936,0.00913921,0.00383795,0.014613486,0.018745501,0.011845122,0.02090503
2017-02-28,0.000438268,-0.001765803,-0.00247721,-0.007319611,-0.00249318,0.00234121,-0.002698075
2017-02-27,0.001975626,0.014328358,0.000337897,0.000772367,0.008004834,-0.010752754,0.005673397
2017-02-24,0.000952208,-0.010632043,0.009724151,-0.003235781,-0.015287216,-0.001651462,-0.008559513
2017-02-23,-0.004230195,0.013469051,-0.003739103,0.000686127,-0.002145131,0.002760144,0.010502891
2017-02-22,0.002999298,-0.012415075,-0.002430242,-0.001082129,-0.000119154,0.004937307,-0.011723031
2017-02-21,0.007220719,0.012268223,0.006141254,0.004335341,0.005511581,-0.002269347,0.001589983
2017-02-17,0.002733616,-0.007719774,0.000625895,0.004744266,0.003768452,-0.004188916,-0.006561373
2017-02-16,-0.001180644,-0.003550266,0.004285714,0.006324932,-0.004390483,-0.001376046,-0.010341522
2017-02-15,0.003629025,-0.005297292,0.007890313,-0.001791739,0.004329301,0.00860483,0.004105337
2017-02-14,0.012979301,-0.00230808,0.009711549,0.001477006,0.012953272,0.004293064,-0.002168675
2017-02-13,0.008855571,0.003764861,-0.000232517,0.006845536,0.014625918,0.003805731,0.005816808
2017-02-10,-0.002265541,0.002613258,0.006083253,0.005076813,0.00484371,0.008295164,0.008308908
2017-02-09,0.007226014,0.0002904,0.015081398,0.001459701,0.016068682,0.00590344,0.004418176
2017-02-08,0.003877401,0.001454291,0.008080421,0.001747319,-0.00788749,-0.005026623,-0.006583663
2017-02-07,0.009517269,-0.040200964,0.002933642,0.007025662,-0.001500127,0.01478452,-0.006481828
2017-02-06,0.009373965,-0.002783911,-0.007664028,-0.000187105,-0.004025735,0.00022747,-0.002753209
2017-02-03,0.004279182,0.003632232,0.001011084,0.003706762,0.04574451,0.007102793,0.001078545
2017-02-02,-0.001708743,-0.005557133,0.038860704,0.003562951,-0.001127124,0.00166394,0.006148953
2017-02-01,0.060980642,0.000278003,-0.012747767,-0.001374228,0.005886928,-0.00131796,-0.01132432
2017-01-31,-0.002302053,0.000556174,0.00428788,-0.006892548,-0.019580958,-0.007280998,-0.011430609
2017-01-30,-0.002624021,-0.016949226,0.007342976,-0.025494639,-0.012871928,-0.008460233,-0.00760146
2017-01-27,8.19595E-05,-0.004354931,-0.012250925,-0.010623116,-0.010977566,-0.00761223,-0.001051361
2017-01-26,0.000492329,-0.007831401,-0.000426417,-0.00421214,0.009820874,0.002075331,0.00304666
2017-01-25,0.015920615,0.003251128,0.002871635,0.014322634,0.015277333,0.013587262,0.00293807
2017-01-24,-0.000916063,0.007919193,0.004048856,0.005565655,0.004340891,0.02847451,0.001412196
2017-01-23,0.000666686,-0.005971804,-0.007489108,0.017751084,0.002024123,0.002814397,-0.010711344
2017-01-20,0.001836707,-0.001626046,0.00329877,0.003546648,0.003413822,0.022420747,0.013690499
2017-01-19,-0.001750134,-0.005390759,-0.003469941,-0.00483211,-0.012292412,5.99245E-05,-0.017964719
2017-01-18,-8.33515E-05,-0.009081207,0.002808172,0.001814571,-0.006150896,-0.006492328,-0.012362651
2017-01-17,0.008064509,-0.005841775,0.012047431,-0.004047656,-0.035038877,0.003286738,0.011696606
2017-01-13,-0.001761002,-0.002648254,-6.17461E-05,0.001885039,0.001886513,-0.003632036,0.00011584
2017-01-12,-0.004175361,0.005592509,0.002042847,-0.001918516,-0.007812494,0.001192232,-0.005414132
2017-01-11,0.005373174,0.0118566,-0.000742363,0.003876782,0.01315079,0.013472668,0.010240858
2017-01-10,0.001008514,-0.005360499,0.004286529,-0.00230589,-0.001317437,-0.012704978,-0.012752757
2017-01-09,0.009159479,-0.015826923,-0.011422959,0.000620232,-0.008207412,-0.011089515,-0.016497169
2017-01-06,0.011148297,-0.017111738,-0.00049108,0.015276698,0.014835019,0.00491999,-0.000564688
2017-01-05,0.005085364,0.007312569,0.019717137,0.009048158,-0.007444567,-0.003308508,-0.014907065
2017-01-04,-0.001119279,0.007631601,0.000187808,0.00096676,0.006457747,0.01238108,-0.011002314
2017-01-03,0.002849262,0.016586401,-0.002373398,0.018553559,0.008853664,0.007229332,0.006979809
2016-12-30,-0.007795805,-0.000534787,-0.006330317,-0.014013939,0.005332122,-0.003661467,-0.000996087
2016-12-29,-0.000256924,0.004026891,0.00074536,-0.00287881,-0.010263874,0.002467076,0.000553655
2016-12-28,-0.004264024,0.003772545,-0.006417826,-0.008211737,-0.003767198,-0.005683844,-0.00495864
2016-12-27,0.006350889,0.002431135,-0.000185085,0.002076205,0.002448426,0.002579289,0.000440971
2016-12-23,0.00197777,0.002980239,6.16638E-05,-0.001706186,0.003539922,-0.002095,-0.001760788
2016-12-22,-0.006577789,0.003534547,-0.005949372,-0.004153227,-0.005467227,-0.001613609,0.006535259
2016-12-21,0.00094058,0.007119339,-0.005004319,-0.002335432,-0.006787587,-0.001611003,-0.001658755
2016-12-20,0.002657726,-0.001094093,0.002447048,0.002795229,0.016815112,0.005519639,0.000110613
2016-12-19,0.005777341,-0.000819883,0.019013796,0.004299474,0.000711654,-0.0002999,-0.008335179
2016-12-16,0.001295126,0.020641614,0.00187373,-0.008836233,-0.016872455,-0.00767771,0.003190679
2016-12-15,0.005469195,-0.004719648,0.007044434,0.000978545,0.01279543,-0.002907779,0.003422367
2016-12-14,0,-0.020929609,-0.004882007,0.001218479,0.005784907,0.001307272,-0.021602944
2016-12-13,0.016681375,0.007669196,-0.003492779,0.00865351,0.005818631,0.016857964,0.017586272
2016-12-12,-0.005704203,0.01388502,0.003944924,-2.5286E-05,-0.019350869,-0.006125413,0.022247229
2016-12-09,0.016321743,-0.004973755,0.013389181,0.016576074,0.001656694,0.007015016,0.007699272
2016-12-08,0.009817206,0.008358855,0.024309324,0.006781702,0.025004246,0.003458994,0.002838655
2016-12-07,0.009822658,0.008996355,0.018806782,0.015913395,0.018065486,0.027689348,0.005824604
2016-12-06,0.007698627,0.002536629,-0.00500764,-0.00447206,0.012382418,0.003190753,0.000914424
2016-12-05,-0.007188365,0,-0.002103969,0.016016016,0.023236042,-0.00112491,0.005055181
2016-12-02,0.00374467,0.002543109,0.002306519,0.00344959,-0.014428821,0.001251389,-0.002292495
2016-12-01,-0.009319575,0.010854054,0.010858734,-0.013350213,0.033471711,-0.014794684,-0.000687351
2016-11-30,-0.008433536,0.044451016,-0.009044067,-0.016605325,0.035607999,-0.008010749,0.016298042
2016-11-29,-0.000985936,-0.005931205,0.001520634,0.003384407,0.009775843,-0.006017538,-0.006591881
2016-11-28,-0.001967982,-0.016049025,-0.00414804,0.008612537,-0.004872735,0.008459023,-0.007460983
2016-11-25,0.00503459,-0.003779089,0.001846953,0.000906718,-0.004380353,0.007161403,0.002301016
2016-11-23,-0.005098386,-0.004053247,-0.00700853,-0.009475874,0.005684225,-0.004241735,0.002768778
2016-11-22,0.000626503,0.004069742,0.009922606,-0.001209038,0.000142125,-0.000614404,0.002196817
2016-11-21,0.015173598,0.022592208,0.005387057,0.011386691,0.003470382,0.014838867,0.014188545
2016-11-18,0.001000453,0.004179109,-0.005555532,-0.013860978,0.003434628,0.003692086,0.000586589
2016-11-17,-0.000363676,0.006006013,-0.006178534,0.008829531,0.016338656,0.00320177,-0.006064103
2016-11-16,0.026888223,-0.009223471,0.006549821,0.007897256,-0.023343946,0.003907454,-0.012324344
2016-11-15,0.013243796,0.019102492,-0.005592147,0.030445023,0.009608997,0.002907468,0.018058178
2016-11-14,-0.025085317,-0.006027734,0.017675413,-0.023792476,0.025693779,-0.018974373,-0.004552351
2016-11-11,0.00593746,-0.022392423,0.018132267,-0.01119909,0.015283554,0.006553508,-0.01585301
2016-11-10,-0.027867931,0.002955056,-0.000613099,-0.028969452,0.042776257,0.034946088,0.009275398
2016-11-09,-0.001620746,0.0107527,0.004791549,-0.006578047,0.058872068,-0.002320037,0.011018669
2016-11-08,0.005887093,0.001795273,0.017765105,0.010210589,0.002424522,0.005508062,0.00720187
